tip,date,group
1/TA-dg-RABV,2013.145205,Taraba
2/TA-dg-RABV,2012.907104,Taraba
3/BA-dg-RABV,2008.273224,Bauchi
4/PL-dg-RABV,2011.358904,Plateau
5/TA-dg-RABV,2014.457534,Taraba
6/BA-dg-RABV,2010.734247,Bauchi
7/TA-dg-RABV,2008.456284,Taraba
8/PL-dg-RABV,2012.95082,Plateau
9/BA-dg-RABV,2006.684932,Bauchi
10/TA-dg-RABV,2009.284932,Taraba
11/BA-dg-RABV,2023.947945,Bauchi
12/PL-dg-RABV,2023.638356,Plateau
13/PL-dg-RABV,2019.868493,Plateau
14/PL-dg-RABV,2022.126027,Plateau
15/PL-dg-RABV,2022.421918,Plateau
16/PL-dg-RABV,1999.019178,Plateau
17/PL-dg-RABV,2021.024658,Plateau
18/TA-dg-RABV,2020.724044,Taraba
19/TA-dg-RABV,2021.487671,Taraba
20/TA-dg-RABV,2023.764384,Taraba
21/TA-dg-RABV,2020.887978,Taraba
22/PL-dg-RABV,2021.605479,Plateau
23/TA-dg-RABV,2019.841096,Taraba
24/PL-dg-RABV,2023.120548,Plateau
25/TA-dg-RABV,2018.69863,Taraba
26/TA-dg-RABV,2019.367123,Taraba
27/PL-dg-RABV,2018.849315,Plateau
28/PL-dg-RABV,2023.887671,Plateau
29/PL-dg-RABV,2022.315068,Plateau
30/PL-dg-RABV,2022.158904,Plateau
31/PL-dg-RABV,2018.772603,Plateau
32/TA-dg-RABV,2018.09589,Taraba
33/BA-dg-RABV,2022.983562,Bauchi
34/PL-dg-RABV,2022.926027,Plateau
35/BA-dg-RABV,2021.528767,Bauchi
36/PL-dg-RABV,2020.97541,Plateau
37/BA-dg-RABV,2021.627397,Bauchi
38/TA-dg-RABV,2023.090411,Taraba
39/PL-dg-RABV,2020.939891,Plateau
40/SO-hm-RABV,2023.808219,Sokoto
41/TA-dg-RABV,2023.605479,Taraba
42/PL-dg-RABV,2019.430137,Plateau
43/PL-dg-RABV,2020.29235,Plateau
44/BA-dg-RABV,2020.065574,Bauchi
45/BA-dg-RABV,2018.942466,Bauchi
46/BA-dg-RABV,2018.334247,Bauchi
47/BA-dg-RABV,2023.180822,Bauchi
48/TA-dg-RABV,2022.183562,Taraba
49/BA-dg-RABV,2020.519126,Bauchi
50/TA-dg-RABV,2022.334247,Taraba
51/TA-dg-RABV,2020.20765,Taraba
52/TA-dg-RABV,2018.465753,Taraba
53/PL-dg-RABV,2021.515068,Plateau
54/PL-dg-RABV,2020.855191,Plateau
55/TA-dg-RABV,2020.587432,Taraba
56/TA-dg-RABV,2019.076712,Taraba
57/BA-dg-RABV,2020.098361,Bauchi
58/BA-dg-RABV,2021.654795,Bauchi
59/PL-dg-RABV,2018.761644,Plateau
60/PL-dg-RABV,2018.983562,Plateau